dataset,attack,rate,accuracy,precision,recall,f1,n_test,cm_tn,cm_fp,cm_fn,cm_tp
Enron Spam,,0.0,0.994661921708185,0.9970751681778298,0.9924308588064048,0.9947475926466296,6744,3299,10,26,3409
Enron Spam,Homoglyph,0.1,0.8821174377224199,0.8123521060104117,0.9994177583697236,0.8962276465213419,6744,2516,793,2,3433
Enron Spam,Homoglyph,0.2,0.7545966785290629,0.6749213836477987,0.9997088791848616,0.8058195471078259,6744,1655,1654,1,3434
Enron Spam,Homoglyph,0.3,0.6929122182680901,0.6239098837209303,0.9997088791848616,0.7683186038706791,6744,1239,2070,1,3434
Enron Spam,Synonym,0.1,0.9933274021352312,0.9921602787456446,0.994759825327511,0.9934583515045792,6744,3282,27,18,3417
Enron Spam,Synonym,0.2,0.9899169632265716,0.9852983568751802,0.9950509461426492,0.9901506373117034,6744,3258,51,17,3418
Enron Spam,Synonym,0.3,0.9845788849347568,0.9746366486178398,0.9956331877729258,0.9850230414746544,6744,3220,89,15,3420
Spam Detection,,0.0,0.9977064220183486,0.997275204359673,0.9981818181818182,0.9977283053157656,2180,1077,3,2,1098
Spam Detection,Homoglyph,0.1,0.9963302752293578,0.9945652173913044,0.9981818181818182,0.9963702359346642,2180,1074,6,2,1098
Spam Detection,Homoglyph,0.2,0.989908256880734,0.9829749103942652,0.9972727272727272,0.990072202166065,2180,1061,19,3,1097
Spam Detection,Homoglyph,0.3,0.9756880733944954,0.9548218940052128,0.9990909090909093,0.9764549089293648,2180,1028,52,1,1099
Spam Detection,Synonym,0.1,0.9977064220183486,0.997275204359673,0.9981818181818182,0.9977283053157656,2180,1077,3,2,1098
Spam Detection,Synonym,0.2,0.9977064220183486,0.997275204359673,0.9981818181818182,0.9977283053157656,2180,1077,3,2,1098
Spam Detection,Synonym,0.3,0.9972477064220184,0.9963702359346642,0.9981818181818182,0.997275204359673,2180,1076,4,2,1098
SMS Spam,,0.0,0.9910313901345292,0.9602649006622516,0.9731543624161074,0.9666666666666668,1115,960,6,4,145
SMS Spam,Homoglyph,0.1,0.9910313901345292,0.9793103448275862,0.953020134228188,0.9659863945578232,1115,963,3,7,142
SMS Spam,Homoglyph,0.2,0.988340807174888,0.9857142857142858,0.9261744966442952,0.9550173010380624,1115,964,2,11,138
SMS Spam,Homoglyph,0.3,0.980269058295964,0.9847328244274808,0.8657718120805369,0.9214285714285714,1115,964,2,20,129
SMS Spam,Synonym,0.1,0.9910313901345292,0.9602649006622516,0.9731543624161074,0.9666666666666668,1115,960,6,4,145
SMS Spam,Synonym,0.2,0.989237668161435,0.9477124183006536,0.9731543624161074,0.9602649006622516,1115,958,8,4,145
SMS Spam,Synonym,0.3,0.9910313901345292,0.9602649006622516,0.9731543624161074,0.9666666666666668,1115,960,6,4,145
Phishing Email Dataset,,0.0,0.9742627345844505,0.9591152815013404,0.97612551159618,0.9675456389452332,3730,2203,61,35,1431
Phishing Email Dataset,Homoglyph,0.1,0.9536193029490616,0.902803738317757,0.9884038199181446,0.9436665581243896,3730,2108,156,17,1449
Phishing Email Dataset,Homoglyph,0.2,0.8766756032171582,0.7647368421052632,0.9911323328785812,0.863339275103981,3730,1817,447,13,1453
Phishing Email Dataset,Homoglyph,0.3,0.7796246648793566,0.6418502202643172,0.9938608458390176,0.7799785867237687,3730,1451,813,9,1457
Phishing Email Dataset,Synonym,0.1,0.9737265415549596,0.956,0.9781718963165076,0.96695886716116,3730,2198,66,32,1434
Phishing Email Dataset,Synonym,0.2,0.9715817694369974,0.9503311258278144,0.9788540245566166,0.9643817204301076,3730,2189,75,31,1435
Phishing Email Dataset,Synonym,0.3,0.9710455764075068,0.9472990777338604,0.980900409276944,0.9638069705093834,3730,2184,80,28,1438
PhishingEmailDetection,,0.0,0.98325,0.9754058042302016,0.9915,0.9833870567815522,4000,1950,50,17,1983
PhishingEmailDetection,Homoglyph,0.1,0.95125,0.9119123687813784,0.999,0.9534717251252685,4000,1807,193,2,1998
PhishingEmailDetection,Homoglyph,0.2,0.85575,0.7763106796116505,0.9995,0.8738797814207651,4000,1424,576,1,1999
PhishingEmailDetection,Homoglyph,0.3,0.73925,0.6572461386789352,1.0,0.793178663493952,4000,957,1043,0,2000
PhishingEmailDetection,Synonym,0.1,0.98225,0.972099853157122,0.993,0.98243878308187,4000,1943,57,14,1986
PhishingEmailDetection,Synonym,0.2,0.983,0.9721407624633432,0.9945,0.9831932773109244,4000,1943,57,11,1989
PhishingEmailDetection,Synonym,0.3,0.978,0.962729912875121,0.9945,0.9783571077225774,4000,1923,77,11,1989
