Dataset,Attack,Rate,Baseline,Accuracy,Precision,Recall,F1,95% CI,p-corr,FP (base),FP (atk)
Enron Spam,Homoglyph,10%,99.47%,88.21%,81.24%,99.94%,89.62%,"[87.4%, 89.0%]",<0.001,10,793
Enron Spam,Homoglyph,20%,99.47%,75.46%,67.49%,99.97%,80.58%,"[74.5%, 76.5%]",<0.001,10,1654
Enron Spam,Homoglyph,30%,99.47%,69.29%,62.39%,99.97%,76.83%,"[68.2%, 70.4%]",<0.001,10,2070
Enron Spam,Synonym,10%,99.47%,99.33%,99.22%,99.48%,99.35%,"[99.1%, 99.5%]",<0.001,10,27
Enron Spam,Synonym,20%,99.47%,98.99%,98.53%,99.51%,99.02%,"[98.8%, 99.2%]",<0.001,10,51
Enron Spam,Synonym,30%,99.47%,98.46%,97.46%,99.56%,98.50%,"[98.2%, 98.8%]",<0.001,10,89
Spam Detection,Homoglyph,10%,99.77%,99.63%,99.46%,99.82%,99.64%,"[99.4%, 99.9%]",<0.001,3,6
Spam Detection,Homoglyph,20%,99.77%,98.99%,98.30%,99.73%,99.01%,"[98.6%, 99.4%]",<0.001,3,19
Spam Detection,Homoglyph,30%,99.77%,97.57%,95.48%,99.91%,97.65%,"[96.9%, 98.2%]",<0.001,3,52
Spam Detection,Synonym,10%,99.77%,99.77%,99.73%,99.82%,99.77%,"[99.5%, 100.0%]",0.3498,3,3
Spam Detection,Synonym,20%,99.77%,99.77%,99.73%,99.82%,99.77%,"[99.5%, 100.0%]",0.3498,3,3
Spam Detection,Synonym,30%,99.77%,99.72%,99.64%,99.82%,99.73%,"[99.5%, 99.9%]",<0.001,3,4
SMS Spam,Homoglyph,10%,99.10%,99.10%,97.93%,95.30%,96.60%,"[98.6%, 99.6%]",0.5871,6,3
SMS Spam,Homoglyph,20%,99.10%,98.83%,98.57%,92.62%,95.50%,"[98.2%, 99.4%]",<0.001,6,2
SMS Spam,Homoglyph,30%,99.10%,98.03%,98.47%,86.58%,92.14%,"[97.2%, 98.8%]",<0.001,6,2
SMS Spam,Synonym,10%,99.10%,99.10%,96.03%,97.32%,96.67%,"[98.5%, 99.6%]",0.8724,6,6
SMS Spam,Synonym,20%,99.10%,98.92%,94.77%,97.32%,96.03%,"[98.3%, 99.5%]",<0.001,6,8
SMS Spam,Synonym,30%,99.10%,99.10%,96.03%,97.32%,96.67%,"[98.6%, 99.6%]",0.5871,6,6
Phishing Email Dataset,Homoglyph,10%,97.43%,95.36%,90.28%,98.84%,94.37%,"[94.7%, 96.0%]",<0.001,61,156
Phishing Email Dataset,Homoglyph,20%,97.43%,87.67%,76.47%,99.11%,86.33%,"[86.6%, 88.7%]",<0.001,61,447
Phishing Email Dataset,Homoglyph,30%,97.43%,77.96%,64.19%,99.39%,78.00%,"[76.6%, 79.3%]",<0.001,61,813
Phishing Email Dataset,Synonym,10%,97.43%,97.37%,95.60%,97.82%,96.70%,"[96.8%, 97.9%]",<0.001,61,66
Phishing Email Dataset,Synonym,20%,97.43%,97.16%,95.03%,97.89%,96.44%,"[96.6%, 97.7%]",<0.001,61,75
Phishing Email Dataset,Synonym,30%,97.43%,97.10%,94.73%,98.09%,96.38%,"[96.6%, 97.6%]",<0.001,61,80
PhishingEmailDetection,Homoglyph,10%,98.32%,95.12%,91.19%,99.90%,95.35%,"[94.5%, 95.8%]",<0.001,50,193
PhishingEmailDetection,Homoglyph,20%,98.32%,85.58%,77.63%,99.95%,87.39%,"[84.5%, 86.6%]",<0.001,50,576
PhishingEmailDetection,Homoglyph,30%,98.32%,73.92%,65.72%,100.00%,79.32%,"[72.5%, 75.4%]",<0.001,50,1043
PhishingEmailDetection,Synonym,10%,98.32%,98.22%,97.21%,99.30%,98.24%,"[97.8%, 98.6%]",<0.001,50,57
PhishingEmailDetection,Synonym,20%,98.32%,98.30%,97.21%,99.45%,98.32%,"[97.9%, 98.7%]",<0.001,50,57
PhishingEmailDetection,Synonym,30%,98.32%,97.80%,96.27%,99.45%,97.84%,"[97.4%, 98.2%]",<0.001,50,77
