dataset,attack,rate,mean_acc,std,ci_95_low,ci_95_high,t_stat,p_raw,p_corrected,significant
Enron Spam,Homoglyph,0.1,0.8822138196915777,0.0039856412801856,0.8742586002372479,0.8901245551601423,-891.7367505466423,0.0,0.0,True
Enron Spam,Homoglyph,0.2,0.7550815539739029,0.0051362452593431,0.7449584816132859,0.7651245551601423,-1474.307985490747,0.0,0.0,True
Enron Spam,Homoglyph,0.3,0.6930397390272836,0.0056000695549523,0.6823843416370107,0.7041852016607355,-1702.3646847897364,0.0,0.0,True
Enron Spam,Synonym,0.1,0.9933551304863584,0.0010072567898419,0.9912514827995256,0.9952550415183868,-41.00612667776719,2.4661406359001325e-216,2.4661406359001325e-216,True
Enron Spam,Synonym,0.2,0.989971975088968,0.0012246466236814,0.9875444839857652,0.9924377224199288,-121.0430488532969,0.0,0.0,True
Enron Spam,Synonym,0.3,0.9846677046263346,0.0015085268023427,0.9817615658362988,0.9875444839857652,-209.40087483039116,0.0,0.0,True
Spam Detection,Homoglyph,0.1,0.9963100917431192,0.0012600963352764,0.993577981651376,0.9986238532110092,-35.02411337752349,5.695894827130079e-176,1.1391789654260156e-175,True
Spam Detection,Homoglyph,0.2,0.989861009174312,0.0021001155775185,0.9857798165137616,0.993577981651376,-118.07429194533093,0.0,0.0,True
Spam Detection,Homoglyph,0.3,0.9756105504587156,0.0033189726251138,0.9688073394495412,0.981651376146789,-210.42154764245285,0.0,0.0,True
Spam Detection,Synonym,0.1,0.997676605504587,0.0010073769440391,0.9954128440366972,0.9995412844036696,-0.9355082036600308,0.3497525356559645,0.3497525356559645,False
Spam Detection,Synonym,0.2,0.997676605504587,0.0010073769440391,0.9954128440366972,0.9995412844036696,-0.9355082036600308,0.3497525356559645,0.3497525356559645,False
Spam Detection,Synonym,0.3,0.997214220183486,0.0011035586627258,0.994954128440367,0.9990825688073396,-14.097124920812826,2.7090289981150043e-41,4.063543497172506e-41,True
SMS Spam,Homoglyph,0.1,0.9910923766816144,0.002786536549158,0.9856502242152466,0.9955156950672646,0.6917545838748941,0.489252194427363,0.5871026333128356,False
SMS Spam,Homoglyph,0.2,0.9883399103139012,0.0030926751440041,0.9820627802690582,0.9937219730941704,-27.50676823710364,1.8788251957917763e-124,5.63647558737533e-124,True
SMS Spam,Homoglyph,0.3,0.9803587443946188,0.0040434408395474,0.9721973094170404,0.988340807174888,-83.42644638901656,0.0,0.0,True
SMS Spam,Synonym,0.1,0.9910170403587444,0.0028238653381007,0.9847533632286996,0.9964125560538116,-0.1606141770222649,0.8724297597505872,0.8724297597505872,False
SMS Spam,Synonym,0.2,0.989239461883408,0.003055124534235,0.9829596412556054,0.9946188340807176,-18.5384936609405,3.61478443109812e-66,7.22956886219624e-66,True
SMS Spam,Synonym,0.3,0.9910977578475336,0.0027950603219145,0.9856502242152466,0.9964125560538116,0.7504960509446144,0.4531327254846226,0.5871026333128356,False
Phishing Email Dataset,Homoglyph,0.1,0.9535281501340482,0.0034678716844063,0.946916890080429,0.9600536193029492,-188.97965872931715,0.0,0.0,True
Phishing Email Dataset,Homoglyph,0.2,0.8763898123324397,0.0053153177955293,0.8659517426273459,0.8868632707774798,-581.9907258382647,0.0,0.0,True
Phishing Email Dataset,Homoglyph,0.3,0.7793951742627346,0.0067290370075792,0.7656769436997319,0.7927613941018766,-915.3124619021748,0.0,0.0,True
Phishing Email Dataset,Synonym,0.1,0.9737873994638068,0.0026144767581874,0.9683646112600536,0.9785522788203752,-5.746426582666998,1.2097268715854957e-08,1.2097268715854957e-08,True
Phishing Email Dataset,Synonym,0.2,0.9716595174262735,0.0026472939172299,0.9662131367292226,0.9766756032171582,-31.08071352810274,6.352881324869435e-149,7.623457589843322e-149,True
Phishing Email Dataset,Synonym,0.3,0.9711123324396784,0.0026778399881767,0.965676943699732,0.9761394101876676,-37.184685783443136,1.11587037786372e-190,1.6738055667955798e-190,True
PhishingEmailDetection,Homoglyph,0.1,0.951313,0.0033278230121206,0.9445,0.95775625,-303.33089170848245,0.0,0.0,True
PhishingEmailDetection,Homoglyph,0.2,0.8559095,0.0052277920530564,0.84525,0.866,-769.8940985596967,0.0,0.0,True
PhishingEmailDetection,Homoglyph,0.3,0.73955025,0.0070151202724899,0.72525,0.7535062499999999,-1098.000926253016,0.0,0.0,True
PhishingEmailDetection,Synonym,0.1,0.982281,0.002015729148472,0.97824375,0.98625,-15.19407777714484,4.60781928073264e-47,5.529383136879167e-47,True
PhishingEmailDetection,Synonym,0.2,0.982975,0.0019382337320354,0.979,0.98675,-4.484451076482401,8.157400133391388e-06,8.157400133391388e-06,True
PhishingEmailDetection,Synonym,0.3,0.9780125,0.0021926510780331,0.9735,0.9822625,-75.49831400452067,0.0,0.0,True
